District	State	2021-11-22	2021-11-23	2021-11-24	2021-11-25	2021-11-26	2021-11-27	2021-11-28	Count_x	sum_x	avg_cases_previous_week	2021-11-29	2021-11-30	2021-12-01	2021-12-02	2021-12-03	2021-12-04	2021-12-05	Count_y	sum_y	avg_cases_over_7_days	Increase	Rate_of_Increase
Sonipat	Haryana	47139	47139	47139	47140	47143	47143	47143	7	329986.0	47140.857142857145	47143	47143	47144	47144	47145	47145	47145	7	330009.0	47144.142857142855	3.285714285710128	0.006969992666346722
Sonitpur	Assam	167	174	183	187	190	199	199	7	1299.0	185.57142857142858	205	213	219	222	224	229	235	7	1547.0	221.0	35.428571428571416	19.091608929946105
South 24 Parganas	West Bengal	102421	102492	102554	102618	102678	102720	102782	7	718265.0	102609.28571428571	102829	102893	102940	102997	103046	103096	103143	7	720944.0	102992.0	382.7142857142899	0.372982116628268
South Andaman	Andaman and Nicobar Islands	0	0	0	0	0	0	0	0	0.0		0	0	0	0	0	0	0	0	0.0			
South Garo Hills	Meghalaya	1219	1219	1219	1219	1219	1219	1219	7	8533.0	1219.0	1219	1219	1219	1219	1219	1220	1220	7	8535.0	1219.2857142857142	0.28571428571422075	0.023438415563102603
South Goa	Goa	0	0	0	0	0	0	0	0	0.0		0	0	0	0	0	0	0	0	0.0			
South Salmara Mankachar	Assam	0	0	0	0	0	0	0	0	0.0		0	0	0	0	0	0	0	0	0.0			
South Sikkim	Sikkim	0	0	0	0	0	0	0	0	0.0		0	0	0	0	0	0	0	0	0.0			
South Tripura	Tripura	10168	10168	10168	10168	10168	10168	10168	7	71176.0	10168.0	10168	10168	10168	10168	10168	10168	10168	7	71176.0	10168.0	0.0	0.0
South West Garo Hills	Meghalaya	1876	1876	1876	1876	1876	1876	1876	7	13132.0	1876.0	1876	1876	1876	1876	1876	1876	1876	7	13132.0	1876.0	0.0	0.0
South West Khasi Hills	Meghalaya	2549	2549	2549	2549	2549	2549	2549	7	17843.0	2549.0	2549	2549	2549	2549	2549	2549	2549	7	17843.0	2549.0	0.0	0.0
Sri Muktsar Sahib	Punjab	18785	18785	18785	18785	18785	18785	18785	7	131495.0	18785.0	18785	18786	18786	18786	18786	18786	18786	7	131501.0	18785.85714285714	0.857142857141298	0.004562911137297301
Srikakulam	Andhra Pradesh	123333	123344	123353	123374	123387	123403	123420	7	863614.0	123373.42857142857	123430	123440	123446	123451	123455	123464	123473	7	864159.0	123451.28571428571	77.85714285714494	0.06310689729439478
Srinagar	Jammu and Kashmir	76831	76895	76953	77022	77085	77127	77188	7	539101.0	77014.42857142857	77236	77298	77361	77419	77475	77524	77586	7	541899.0	77414.14285714286	399.7142857142899	0.5190122073600363
Subarnapur	Odisha	13200	13200	13201	13201	13201	13204	13204	7	92411.0	13201.57142857143	13206	13206	13206	13206	13206	13207	13207	7	92444.0	13206.285714285714	4.714285714284415	0.035710034519690195
Sukma	Chhattisgarh	8069	8069	8069	8069	8069	8069	8069	7	56483.0	8069.0	8069	8069	8069	8069	8069	8069	8069	7	56483.0	8069.0	0.0	0.0
Sultanpur	Uttar Pradesh	14915	14915	14915	14915	14915	14915	14915	7	104405.0	14915.0	14915	14915	14915	14915	14915	14915	14915	7	104405.0	14915.0	0.0	0.0
Sundargarh	Odisha	62035	62046	62054	62064	62080	62093	62105	7	434477.0	62068.142857142855	62110	62126	62134	62148	62151	62163	62163	7	434995.0	62142.142857142855	74.0	0.11922380241071448
