	District	State	total_confirmed	total_tested	PositivityRate
476	Tarn Taran	Punjab	55743.0	780122.0	0.07145420844432025
477	Tawang	Arunachal Pradesh	13799.0	99568.0	0.13858870319781455
478	Tehri Garhwal	Uttarakhand	110599.0	735777.0	0.15031592452604525
479	Tenkasi	Tamil Nadu	186846.0	184366.0	1.013451504073419
480	Thane	Maharashtra	4120768.0	8607375.0	0.4787485150815434
481	Thanjavur	Tamil Nadu	466982.0	472115.0	0.9891276489838281
482	Theni	Tamil Nadu	299476.0	320873.0	0.9333162964786691
483	Thiruvallur	Tamil Nadu	788348.0	475636.0	1.6574607472941494
484	Thiruvananthapuram	Kerala	2237394.0	3056627.0	0.731981363771242
485	Thiruvarur	Tamil Nadu	262363.0	472115.0	0.5557184160638827
486	Thoothukkudi	Tamil Nadu	384079.0	345016.0	1.1132208361351357
487	Thrissur	Kerala	2102849.0	4473385.0	0.47008004005914983
488	Tikamgarh	Madhya Pradesh	47998.0	301077.0	0.15942101190061014
489	Tirap	Arunachal Pradesh	6221.0	102599.0	0.06063411924092828
490	Tiruchirappalli	Tamil Nadu	501253.0	648102.0	0.7734168387074875
491	Tirunelveli	Tamil Nadu	333042.0	379456.0	0.8776827879912296
492	Tirupathur	Tamil Nadu	195800.0	167986.0	1.1655733215863227
493	Tiruppur	Tamil Nadu	606877.0	254107.0	2.388273443864199
494	Tiruvannamalai	Tamil Nadu	359397.0	533190.0	0.6740505260788837
495	Tonk	Rajasthan	66430.0	519575.0	0.1278544964634557
496	Tuensang	Nagaland	6161.0	34209.0	0.18009880440819667
497	Tumakuru	Karnataka	819058.0	745948.0	1.0980095127274287
498	Udaipur	Rajasthan	393744.0	1760654.0	0.22363508105510793
499	Udalguri	Assam	0.0	172627.0	0.0
500	Udham Singh Nagar	Uttarakhand	263346.0	2361044.0	0.11153794677269886
501	Udupi	Karnataka	478686.0	602644.0	0.7943097417380742
502	Ujjain	Madhya Pradesh	132251.0	221417.0	0.5972937940627865
503	Umaria	Madhya Pradesh	44047.0	383677.0	0.11480229463845891
504	Una	Himachal Pradesh	93745.0	370335.0	0.25313567445691065
505	Unnao	Uttar Pradesh	104909.0	2092202.0	0.05014286383437163
506	Unokoti	Tripura	50426.0	244510.0	0.2062328739110875
507	Upper Dibang Valley	Arunachal Pradesh	1638.0	13370.0	0.1225130890052356
508	Upper Siang	Arunachal Pradesh	5135.0	45948.0	0.11175676852093672
509	Upper Subansiri	Arunachal Pradesh	11286.0	43519.0	0.25933500310209334
510	Uttar Bastar Kanker	Chhattisgarh	162931.0	14357.0	11.348540781500313
511	Uttara Kannada	Karnataka	369918.0	96831.0	3.8202435170554883
512	Uttarkashi	Uttarakhand	86941.0	840182.0	0.10347877007600734
513	Vadodara	Gujarat	544625.0	4869690.0	0.11183976803451555
514	Vaishali	Bihar	138388.0	1931188.0	0.07165951735408464
515	Valsad	Gujarat	43678.0	1087660.0	0.040157769891326335
516	Varanasi	Uttar Pradesh	597843.0	4168570.0	0.1434168072024699
517	Vellore	Tamil Nadu	333795.0	335552.0	0.9947638518024032
518	Vidisha	Madhya Pradesh	83414.0	461545.0	0.1807277730232155
519	Vijayapura	Karnataka	252541.0	175756.0	1.4368840893056283
520	Viluppuram	Tamil Nadu	303953.0	364448.0	0.8340092413732549
521	Virudhunagar	Tamil Nadu	317029.0	200340.0	1.5824548267944494
522	Visakhapatnam	Andhra Pradesh	1057851.0	5214881.0	0.20285237573014608
523	Vizianagaram	Andhra Pradesh	567925.0	3720031.0	0.1526667385298671
524	Wardha	Maharashtra	410015.0	366555.0	1.11856338066593
525	Wayanad	Kerala	500824.0	1483671.0	0.33755731560433544
526	West Champaran	Bihar	146053.0	3862446.0	0.03781360308985549
527	West Godavari	Andhra Pradesh	1173042.0	5551686.0	0.21129473100604032
528	West Kameng	Arunachal Pradesh	19526.0	197085.0	0.09907400360250654
529	West Siang	Arunachal Pradesh	10268.0	92344.0	0.11119293078055964
530	West Tripura	Tripura	197628.0	1420573.0	0.1391185106291616
531	Wokha	Nagaland	1882.0	9730.0	0.1934224049331963
532	Y.S.R. Kadapa	Andhra Pradesh	764149.0	4702327.0	0.16250443663318181
533	Yadgir	Karnataka	192355.0	1550395.0	0.12406838257347322
534	Yamunanagar	Haryana	171757.0	1372917.0	0.125103702554488
535	Yanam	Puducherry	45935.0	187089.0	0.24552485715354724
536	Yavatmal	Maharashtra	532402.0	990857.0	0.5373146680096119
537	Zunheboto	Nagaland	3570.0	14917.0	0.2393242609103707
