	District	State	total_confirmed	total_tested	PositivityRate
189	Hamirpur	Himachal Pradesh	101413.0	324849.0	0.31218504597520697
190	Hamirpur	Uttar Pradesh	36559.0	1682674.0	0.02172672781537006
191	Hanumangarh	Rajasthan	112229.0	577794.0	0.19423704642138895
192	Hapur	Uttar Pradesh	88298.0	2098075.0	0.04208524480774043
193	Harda	Madhya Pradesh	35385.0	256956.0	0.13770840143837856
194	Hardoi	Uttar Pradesh	96243.0	1573488.0	0.061165385436685885
195	Haridwar	Uttarakhand	359131.0	2586794.0	0.13883246984491227
196	Hassan	Karnataka	737993.0	75600.0	9.761812169312169
197	Hathras	Uttar Pradesh	20415.0	1823675.0	0.011194428831891647
198	Haveri	Karnataka	152729.0	81998.0	1.8625942096148687
199	Hingoli	Maharashtra	128297.0	47579.0	2.6965047605035837
200	Hisar	Haryana	377730.0	2254273.0	0.16756178155884402
201	Hoshangabad	Madhya Pradesh	74736.0	324058.0	0.23062538187608392
202	Hoshiarpur	Punjab	214196.0	1548827.0	0.1382956263030022
203	Idukki	Kerala	616704.0	1663837.0	0.37065169244343044
204	Indore	Madhya Pradesh	1070593.0	5461862.0	0.19601245875490814
205	Jabalpur	Madhya Pradesh	354240.0	2057461.0	0.17217337290962015
206	Jagatsinghpur	Odisha	169974.0	326536.0	0.5205367861430287
207	Jaipur	Rajasthan	1312214.0	6781481.0	0.19349962051062297
208	Jaisalmer	Rajasthan	95433.0	560574.0	0.17024157381541064
209	Jajpur	Odisha	279540.0	377692.0	0.7401268758671087
210	Jalandhar	Punjab	441046.0	3106145.0	0.14199143954966686
211	Jalaun	Uttar Pradesh	81580.0	1552033.0	0.052563315341877394
212	Jalgaon	Maharashtra	976213.0	3004386.0	0.32492928671615434
213	Jalna	Maharashtra	419750.0	819329.0	0.5123094629873958
214	Jalore	Rajasthan	70427.0	1289204.0	0.05462828225788936
215	Jamnagar	Gujarat	244499.0	2155377.0	0.1134367676745182
216	Jamtara	Jharkhand	38789.0	20160.0	1.9240575396825397
217	Jamui	Bihar	65733.0	2394035.0	0.027456992065696618
218	Janjgir Champa	Chhattisgarh	400229.0	28112.0	14.236945076835514
219	Jashpur	Chhattisgarh	187181.0	17794.0	10.51933235922221
220	Jaunpur	Uttar Pradesh	157897.0	2259768.0	0.06987310201755224
221	Jehanabad	Bihar	75340.0	3445785.0	0.021864393744821572
222	Jhabua	Madhya Pradesh	53813.0	365022.0	0.1474239908827413
223	Jhajjar	Haryana	131718.0	1307971.0	0.100704067597829
224	Jhalawar	Rajasthan	95186.0	680141.0	0.13995039263917336
225	Jhansi	Uttar Pradesh	255654.0	2187780.0	0.11685544250335957
226	Jharsuguda	Odisha	164528.0	11641.0	14.133493686109441
227	Jhunjhunu	Rajasthan	103614.0	864031.0	0.11991930845073846
228	Jind	Haryana	148393.0	78099.0	1.900062740880165
229	Jodhpur	Rajasthan	786483.0	4206713.0	0.1869590342863894
230	Junagadh	Gujarat	143081.0	1397893.0	0.10235475819680047
231	Kabeerdham	Chhattisgarh	159256.0	19803.0	8.042013836287431
232	Kaimur	Bihar	34846.0	3096324.0	0.011253990215494244
233	Kaithal	Haryana	78425.0	81809.0	0.9586353579679497
234	Kalaburagi	Karnataka	430719.0	2867172.0	0.1502243325478904
235	Kalahandi	Odisha	168363.0	10206.0	16.49647266313933
236	Kallakurichi	Tamil Nadu	199758.0	198198.0	1.007870916961826
237	Kamle	Arunachal Pradesh	2283.0	9695.0	0.23548220732336256
238	Kancheepuram	Tamil Nadu	498442.0	262535.0	1.898573523530196
239	Kandhamal	Odisha	77673.0	10612.0	7.3193554466641535
240	Kangra	Himachal Pradesh	323242.0	664370.0	0.4865391272935262
241	Kannauj	Uttar Pradesh	64490.0	868133.0	0.07428585251338217
242	Kannur	Kerala	1228952.0	2744952.0	0.4477134754997537
243	Kanpur Dehat	Uttar Pradesh	43240.0	2412879.0	0.01792050077935943
244	Kanpur Nagar	Uttar Pradesh	579816.0	4800740.0	0.12077638030803585
245	Kanyakumari	Tamil Nadu	418145.0	557200.0	0.7504396984924623
246	Kapurthala	Punjab	124008.0	270606.0	0.45826034899447904
247	Karaikal	Puducherry	104084.0	511994.0	0.203291444821619
248	Karauli	Rajasthan	50092.0	451367.0	0.110978427753912
249	Kargil	Ladakh	24818.0	262297.0	0.09461793310636415
250	Karnal	Haryana	279691.0	1296029.0	0.2158061277949799
251	Karur	Tamil Nadu	157343.0	120330.0	1.3075957782764065
252	Kasganj	Uttar Pradesh	29729.0	1903783.0	0.01561575032448551
253	Katihar	Bihar	126532.0	3895066.0	0.03248520050751386
254	Katni	Madhya Pradesh	65537.0	397796.0	0.16475027400979397
255	Kaushambi	Uttar Pradesh	30899.0	1449448.0	0.02131777062716289
256	Kendrapara	Odisha	157169.0	2679124.0	0.058664324607595617
257	Kendujhar	Odisha	140372.0	3321528.0	0.04226127252276663
258	Khagaria	Bihar	69997.0	1038380.0	0.06740981143704616
259	Khandwa	Madhya Pradesh	28280.0	119630.0	0.2363955529549444
260	Khargone	Madhya Pradesh	97730.0	268891.0	0.3634558241071661
261	Kheda	Gujarat	72907.0	1526980.0	0.04774587748366056
262	Khowai	Tripura	29247.0	168322.0	0.1737562528962346
